,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,AMARC,,3.52,-7.37,128.01,,,,
1,NEWS,C,0.03,0.0,114.35,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech,SERVICE,
2,ZIGA,,4.34,0.46,103.07,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining,INDUS,
3,UREKA,,1.71,5.56,96.93,,เครื่องจักรอุตสาหกรรม,INDUS,
4,PJW,,5.1,-0.97,77.7,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก,INDUS,
5,PSG,,1.37,2.24,76.51,,,PROPCON,
6,ABM,,2.8,6.87,63.52,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล,RESOURC,
7,KWM,,2.92,-7.01,58.9,KWM KWI,ใบผาล อุปกรณ์การเกษตร,INDUS,
8,MORE,,2.44,-2.4,56.85,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค",SERVICE,
9,UPA,,0.23,-4.17,50.48,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค,RESOURC,
