,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TTB,,1.36,-1.45,686.34,FINCIAL,BANK,,กลาง
1,JKN,,5.6,25.56,285.43,SERVICE,MEDIA,,
2,WHA,,3.86,3.21,170.33,PROPCON,PROP,,นิคมอุตสาหกรรม
3,PCC,,3.48,8.07,143.63,RESOURC,ENERG,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
4,OR,,24.1,-2.43,130.35,RESOURC,ENERG,,ผลิตภัณฑ์ปิโตรเลียมและธุรกิจค้าปลีกสินค้าและบริการอื่นๆ (Non-Oil)
5,AAV,,3.18,6.71,129.17,SERVICE,TRANS,,สนามบิน สายการบิน
6,U,,1.6,3.9,117.21,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
7,SIRI,,1.3,0.0,102.79,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
8,TGE,,2.02,3.59,102.71,RESOURC,ENERG,,ไฟฟ้าชีวมวล -ขยะ
9,WAVE,C,0.17,-29.17,99.68,SERVICE,MEDIA,,
