,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TKT,,2.36,28.96,26.62,INDUS,AUTO,,ชิ้นส่วนพลาสติก
1,TH,,2.78,25.23,381.75,FINCIAL,FIN,,
2,TEAM,,6.7,15.52,38.87,TECH,ETRON,,วงจรอิเล็กทรอนิกส์สําหรับยานยนต์และเครื่องใช้ไฟฟ้า
3,SSPF,,7.6,7.8,0.0,PROPCON,PF&REIT,,
4,ETC,,3.58,7.19,23.76,RESOURC,ENERG,ETC BWG GENCO AKP ABM,โรงไฟฟ้าขยะ
5,VARO,,5.65,6.6,0.09,INDUS,IMM,,อลูมิเนียม
6,NC,,11.4,6.54,0.0,CONSUMP,FASHION,,เครื่องสําอางค์
7,NUSA,,1.17,6.36,94.49,PROPCON,PROP,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
8,TFI,,0.17,6.25,0.24,INDUS,PKG,,ฟิล์มพลาสติก บรรจุภัณฑ
9,TC,,16.0,5.96,5.0,AGRO,FOOD,,อาหารทะเลแช่แข็ง
