,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,0.51,-5.56,160.97,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,UPA,,0.2,5.26,33.75,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
2,PSG,,1.17,-0.85,26.65,PROPCON,,,
3,A5,,3.68,-2.13,14.28,PROPCON,,,
4,KJL,,16.4,5.81,11.28,,,,
5,THANA,,2.82,10.16,10.99,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
6,TMC,,2.22,1.83,8.65,INDUS,,TSTH MILL INOX SAM KCM TMC,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
7,NEWS,C,0.04,33.33,8.14,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
8,VL,,1.61,-1.83,7.55,SERVICE,,,ขนส่ง
9,ZIGA,,3.72,2.2,6.87,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
