,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.04,33.33,3.97,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,NEWS,C,0.04,33.33,8.14,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
2,THANA,,2.82,10.16,10.99,PROPCON,,THANA PRECHA,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
3,HYDRO,C,0.89,5.95,0.07,PROPCON,,,ก่อสร้างและเดินระบบโครงการบําบัดนํ้าเสีย
4,KJL,,16.4,5.81,11.28,,,,
5,UPA,,0.2,5.26,33.75,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
6,KCC,,7.6,4.83,4.56,FINCIAL,,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
7,BROOK,,0.44,4.76,1.8,FINCIAL,,,ปรึกษาธุรกิจด้านการเงินและลงทุนสกุลเงินดิจิติล
8,ABM,,2.0,4.71,1.51,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
9,D,,5.45,2.83,1.61,SERVICE,,,ทันตกรรม
