,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,AURA,,14.3,31.19,268.39,,,,
1,SIRI,,1.54,4.76,208.49,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์,PROPCON,PROP
2,TTB,,1.39,1.46,158.19,,กลาง,FINCIAL,BANK
3,WHA,,3.82,2.69,67.98,,นิคมอุตสาหกรรม,PROPCON,PROP
4,NUSA,,1.23,-1.6,66.74,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์,PROPCON,PROP
5,BLAND,,1.04,1.96,58.23,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์,PROPCON,PROP
6,AWC,,6.2,-0.8,54.63,,โรงแรม สํานักงาน และพื้นที่ให้เช่า,PROPCON,PROP
7,ECL,,2.04,3.03,52.74,THANI AMANAH ECL ML SGF,สินเชื่อรถยนต์,FINCIAL,FIN
8,IRPC,,3.08,0.65,48.58,,โรงกลั่นนํ้ามัน,RESOURC,ENERG
9,TRUE,,4.58,0.44,41.78,,บริการสื่อสารโทรคมนาคม,TECH,ICT
