,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,AURA,,14.3,31.19,268.39,,,,
1,TWZ,,0.07,16.67,5.83,,,TECH,ICT
2,VARO,,9.6,13.61,5.76,,อลูมิเนียม,INDUS,IMM
3,GEL,,0.22,10.0,6.78,,คอนกรีต,PROPCON,CONMAT
4,NFC,,6.5,8.33,8.79,,แอมโมเนีย กรดกํามะถัน,INDUS,PETRO
5,PPPM,"C, NP",0.14,7.69,4.96,,อาหารสัตว์,AGRO,AGRI
6,SAWANG,,14.3,7.52,0.0,,,CONSUMP,FASHION
7,EMC,C,0.15,7.14,0.51,,ก่อสร้างวางระบบไฟฟ้า,PROPCON,CONS
8,OCC,,10.7,4.9,0.0,,เครื่องสําอางค์,CONSUMP,PERSON
9,AJA,,0.22,4.76,2.96,JTS ZIGA UPA ECF AJA COMAN MVP,เครื่องใช้ไฟฟ้า,CONSUMP,HOME
