,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,PRI,,19.2,28.0,213.81,,,,
1,MOONG,,2.54,8.55,9.16,,สินค้าสําหรับแม่และเด็ก,CONSUMP,
2,SR,,1.35,8.0,0.81,,ปิโตรเลียมเหลว,RESOURC,
3,RWI,,0.93,6.9,8.02,CEN RWI,ลวดเหล็กแรงดึงสูง,INDUS,
4,A5,,3.9,5.98,55.77,,,PROPCON,
5,UPA,,0.2,5.26,74.45,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค,RESOURC,
6,FSMART,,14.6,5.04,6.53,FORTH FSMART,ธุรกิจสินค้าเงินผ่อน เติมเงิน,SERVICE,
7,KK,,2.56,4.92,0.21,,ซุปเปอร์มาร์เก็ต,SERVICE,
8,KLINIQ,,39.5,4.64,2.96,,,,
9,CIG,C,0.5,4.17,5.2,,ระบบทําความเย็น,INDUS,
